top_type,top_color,top_usage,top_season,bottom_type,bottom_color,bottom_usage,bottom_season,shoe_type,shoe_color,shoe_usage,shoe_season,compatibility_score,compatibility_label
Tshirts,Black,Sports,Fall,Shorts,Black,Sports,Winter,Casual Shoes,Black,Casual,Fall,61,Moderately Compatible
Jackets,Red,Casual,Fall,Shorts,Grey Melange,Sports,Summer,Sports Shoes,Black,Casual,Summer,40,Poor Match
Shirts,White,Formal,Summer,Shorts,Black,Sports,Fall,Casual Shoes,Black,Casual,Summer,63,Moderately Compatible
Tshirts,Black,Casual,Summer,Shorts,Brown,Sports,Summer,Casual Shoes,Black,Casual,Summer,72,Moderately Compatible
Tshirts,Blue,Casual,Summer,Track Pants,Charcoal,Sports,Summer,Casual Shoes,White,Casual,Summer,52,Poor Match
Shirts,Pink,Casual,Summer,Trousers,Khaki,Casual,Fall,Sports Shoes,Black,Sports,Summer,39,Poor Match
Tshirts,Navy Blue,Casual,Fall,Shorts,Navy Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer,58,Poor Match
Shirts,Green,Casual,Fall,Track Pants,Grey,Casual,Fall,Sports Shoes,White,Sports,Fall,60,Moderately Compatible
Tshirts,White,Casual,Summer,Shorts,Black,Casual,Summer,Casual Shoes,Brown,Casual,Winter,98,Highly Compatible
Tshirts,Navy Blue,Sports,Summer,Shorts,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,50,Poor Match
Tshirts,Pink,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Black,Casual,Summer,71,Moderately Compatible
Tshirts,Black,Casual,Summer,Track Pants,Black,Casual,Summer,Casual Shoes,Black,Casual,Fall,79,Moderately Compatible
Tshirts,White,Casual,Summer,Trousers,Black,Formal,Fall,Casual Shoes,Blue,Casual,Fall,63,Moderately Compatible
Shirts,Green,Casual,Fall,Shorts,Navy Blue,Casual,Summer,Casual Shoes,Navy Blue,Casual,Summer,71,Moderately Compatible
Tshirts,White,Casual,Summer,Trousers,Brown,Casual,Summer,Casual Shoes,Brown,Casual,Summer,92,Highly Compatible
Tshirts,Blue,Casual,Summer,Shorts,Brown,Sports,Summer,Casual Shoes,Brown,Casual,Summer,61,Moderately Compatible
Shirts,Pink,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Brown,Casual,Summer,67,Moderately Compatible
Tshirts,Blue,Casual,Fall,Trousers,Charcoal,Formal,Fall,Sports Shoes,White,Casual,Summer,38,Poor Match
Shirts,Red,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,White,Casual,Fall,63,Moderately Compatible
Tshirts,Grey,Casual,Summer,Trousers,Black,Formal,Fall,Casual Shoes,White,Casual,Summer,78,Moderately Compatible
Tshirts,Grey,Casual,Summer,Track Pants,Black,Casual,Fall,Casual Shoes,Brown,Casual,Winter,88,Highly Compatible
Tshirts,Red,Casual,Fall,Track Pants,Black,Casual,Summer,Casual Shoes,Brown,Casual,Winter,57,Poor Match
Shirts,Blue,Formal,Summer,Shorts,Black,Sports,Winter,Sports Shoes,White,Sports,Summer,49,Poor Match
Shirts,Green,Casual,Fall,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Beige,Casual,Winter,29,Poor Match
Shirts,Green,Casual,Fall,Shorts,Black,Casual,Summer,Sports Shoes,White,Casual,Summer,72,Moderately Compatible
Shirts,Red,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Grey,Casual,Summer,71,Moderately Compatible
Tshirts,Blue,Casual,Fall,Track Pants,Black,Casual,Summer,Casual Shoes,Black,Casual,Summer,71,Moderately Compatible
Tshirts,Purple,Casual,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,White,Casual,Fall,47,Poor Match
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,White,Casual,Spring,67,Moderately Compatible
Tshirts,Burgundy,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Summer,83,Highly Compatible
Tshirts,Green,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Casual,Summer,60,Moderately Compatible
Tshirts,Red,Casual,Fall,Jeans,Blue,Casual,Summer,Formal Shoes,Brown,Formal,Winter,33,Poor Match
Tshirts,White,Casual,Summer,Track Pants,Black,Sports,Fall,Casual Shoes,Grey,Casual,Summer,74,Moderately Compatible
Tshirts,Pink,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Brown,Casual,Summer,52,Poor Match
Shirts,Blue,Casual,Fall,Trousers,Grey,Casual,Summer,Casual Shoes,Brown,Casual,Summer,71,Moderately Compatible
Tshirts,Green,Casual,Summer,Shorts,Navy Blue,Sports,Summer,Sports Shoes,White,Casual,Summer,58,Poor Match
Tshirts,Grey,Casual,Summer,Track Pants,Charcoal,Sports,Summer,Casual Shoes,Black,Casual,Fall,52,Poor Match
Shirts,Grey,Casual,Fall,Shorts,Beige,Casual,Fall,Casual Shoes,Black,Casual,Fall,91,Highly Compatible
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,80,Highly Compatible
Tshirts,White,Casual,Summer,Trousers,Black,Formal,Fall,Casual Shoes,Black,Casual,Fall,78,Moderately Compatible
Tshirts,Purple,Casual,Fall,Track Pants,Black,Casual,Summer,Casual Shoes,White,Casual,Summer,73,Moderately Compatible
Tshirts,Black,Casual,Summer,Trousers,Black,Casual,Summer,Sports Shoes,Silver,Sports,Summer,59,Poor Match
Shirts,Olive,Casual,Summer,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall,39,Poor Match
Tshirts,Grey,Casual,Fall,Shorts,Navy Blue,Casual,Summer,Sports Shoes,Blue,Sports,Summer,53,Poor Match
Shirts,Blue,Formal,Summer,Jeans,Blue,Casual,Winter,Sports Shoes,White,Sports,Summer,27,Poor Match
Shirts,Blue,Casual,Fall,Shorts,Black,Casual,Summer,Casual Shoes,Black,Casual,Fall,69,Moderately Compatible
Tshirts,Pink,Casual,Summer,Track Pants,Black,Casual,Summer,Casual Shoes,Black,Casual,Summer,82,Highly Compatible
Tshirts,White,Casual,Summer,Track Pants,Black,Casual,Summer,Sports Shoes,Black,Sports,Fall,83,Highly Compatible
Shirts,Orange,Formal,Summer,Shorts,Black,Sports,Winter,Sports Shoes,Black,Sports,Spring,41,Poor Match
Tshirts,Grey,Casual,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,White,Casual,Spring,60,Moderately Compatible
Shirts,Red,Casual,Summer,Shorts,Red,Sports,Summer,Sports Shoes,Blue,Sports,Summer,50,Poor Match
Tshirts,White,Casual,Summer,Shorts,Grey,Casual,Fall,Casual Shoes,White,Casual,Fall,81,Highly Compatible
Tshirts,Blue,Casual,Fall,Track Pants,Grey,Sports,Summer,Casual Shoes,Beige,Casual,Winter,41,Poor Match
Jackets,Red,Sports,Fall,Track Pants,Grey,Casual,Summer,Sports Shoes,Black,Casual,Summer,51,Poor Match
Tshirts,Red,Casual,Fall,Trousers,Black,Formal,Fall,Casual Shoes,Black,Casual,Fall,57,Poor Match
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,White,Sports,Summer,63,Moderately Compatible
Jackets,Blue,Sports,Fall,Track Pants,Black,Sports,Fall,Formal Shoes,Black,Formal,Winter,47,Poor Match
Shirts,White,Formal,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,49,Poor Match
Tshirts,Green,Casual,Fall,Jeans,Blue,Casual,Fall,Casual Shoes,Brown,Casual,Winter,70,Moderately Compatible
Shirts,Grey,Casual,Fall,Track Pants,Black,Casual,Spring,Casual Shoes,White,Casual,Fall,97,Highly Compatible
Tshirts,White,Casual,Summer,Trousers,Brown,Casual,Fall,Casual Shoes,Beige,Casual,Winter,73,Moderately Compatible
Tshirts,White,Casual,Summer,Shorts,Navy Blue,Sports,Summer,Casual Shoes,Black,Casual,Fall,72,Moderately Compatible
Shirts,Purple,Casual,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,Black,Casual,Fall,53,Poor Match
Shirts,White,Formal,Summer,Jeans,Blue,Casual,Summer,Formal Shoes,Brown,Formal,Winter,52,Poor Match
Tshirts,Red,Casual,Fall,Track Pants,Charcoal,Sports,Summer,Sports Shoes,White,Sports,Fall,47,Poor Match
Shirts,Olive,Casual,Summer,Trousers,Black,Formal,Fall,Casual Shoes,Black,Casual,Fall,48,Poor Match
Shirts,Grey,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,60,Moderately Compatible
Tshirts,Burgundy,Casual,Summer,Shorts,Grey,Sports,Fall,Casual Shoes,Grey,Casual,Winter,39,Poor Match
Shirts,Grey,Casual,Fall,Trousers,Brown,Casual,Summer,Sports Shoes,White,Sports,Fall,58,Poor Match
Tshirts,Navy Blue,Sports,Summer,Trousers,Grey,Casual,Summer,Casual Shoes,Black,Casual,Fall,62,Moderately Compatible
Tshirts,Black,Casual,Summer,Track Pants,Black,Casual,Spring,Casual Shoes,Charcoal,Casual,Fall,57,Poor Match
Shirts,Red,Casual,Fall,Jeans,Blue,Casual,Fall,Casual Shoes,Black,Casual,Summer,59,Poor Match
Tshirts,Green,Casual,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,White,Casual,Summer,60,Moderately Compatible
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Brown,Casual,Winter,71,Moderately Compatible
Tshirts,White,Casual,Fall,Shorts,Black,Sports,Winter,Casual Shoes,Brown,Casual,Summer,62,Moderately Compatible
Shirts,Red,Casual,Summer,Shorts,Navy Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer,59,Poor Match
Tshirts,White,Casual,Summer,Track Pants,Black,Casual,Fall,Sports Shoes,White,Sports,Summer,85,Highly Compatible
Tshirts,Blue,Sports,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Charcoal,Casual,Fall,53,Poor Match
Tshirts,Maroon,Sports,Summer,Track Pants,Grey,Sports,Summer,Formal Shoes,Black,Formal,Winter,50,Poor Match
Tshirts,Red,Casual,Fall,Jeans,Navy Blue,Casual,Summer,Casual Shoes,Navy Blue,Casual,Summer,82,Highly Compatible
Tshirts,Purple,Casual,Fall,Shorts,Red,Sports,Summer,Formal Shoes,Black,Formal,Fall,23,Poor Match
Tshirts,Grey,Casual,Fall,Shorts,Black,Casual,Summer,Casual Shoes,Grey,Casual,Winter,83,Highly Compatible
Tshirts,Black,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Blue,Casual,Summer,50,Poor Match
Tshirts,Blue,Casual,Fall,Jeans,,Casual,Fall,Casual Shoes,Red,Casual,Winter,73,Moderately Compatible
Tshirts,Black,Casual,Summer,Track Pants,Black,Casual,Summer,Casual Shoes,Black,Casual,Summer,87,Highly Compatible
Tshirts,Blue,Sports,Fall,Jeans,Blue,Casual,Fall,Sports Shoes,Grey,Sports,Summer,39,Poor Match
Tshirts,Black,Casual,Summer,Trousers,Navy Blue,Casual,Fall,Casual Shoes,Black,Casual,Summer,82,Highly Compatible
Shirts,Red,Formal,Fall,Track Pants,Charcoal,Sports,Summer,Sports Shoes,Black,Sports,Summer,42,Poor Match
Shirts,Pink,Casual,Summer,Shorts,White,Casual,Fall,Casual Shoes,Blue,Casual,Summer,63,Moderately Compatible
Tshirts,Green,Casual,Summer,Shorts,Beige,Casual,Fall,Casual Shoes,White,Casual,Fall,73,Moderately Compatible
Shirts,Blue,Casual,Fall,Trousers,Green,Casual,Fall,Sports Shoes,White,Sports,Summer,38,Poor Match
Tshirts,Black,Casual,Summer,Shorts,Black,Sports,Fall,Casual Shoes,Black,Casual,Fall,62,Moderately Compatible
Tshirts,Grey,Casual,Summer,Jeans,Blue,Casual,Winter,Casual Shoes,Grey,Casual,Winter,77,Moderately Compatible
Tshirts,Blue,Casual,Fall,Trousers,Grey,Casual,Summer,Formal Shoes,Black,Formal,Summer,48,Poor Match
Tshirts,Burgundy,Casual,Summer,Shorts,Grey,Casual,Fall,Sports Shoes,White,Sports,Summer,49,Poor Match
Shirts,Blue,Casual,Fall,Shorts,Grey,Casual,Fall,Casual Shoes,Black,Casual,Fall,83,Highly Compatible
Tshirts,Grey,Casual,Fall,Track Pants,Grey,Sports,Summer,Formal Shoes,Black,Formal,Summer,46,Poor Match
Shirts,White,Formal,Summer,Trousers,Grey,Formal,Fall,Casual Shoes,Black,Casual,Summer,57,Poor Match
Tshirts,White,Casual,Summer,Shorts,Navy Blue,Sports,Summer,Casual Shoes,Navy Blue,Casual,Summer,85,Highly Compatible
Shirts,Blue,Formal,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Black,Casual,Summer,41,Poor Match
Tshirts,Orange,Casual,Fall,Shorts,Grey,Casual,Fall,Sports Shoes,White,Sports,Fall,58,Poor Match
Tshirts,Pink,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer,52,Poor Match
Tshirts,White,Casual,Summer,Trousers,Charcoal,Formal,Fall,Sports Shoes,Black,Sports,Summer,35,Poor Match
Tshirts,Grey,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Navy Blue,Casual,Summer,93,Highly Compatible
Tshirts,Black,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Winter,77,Moderately Compatible
Shirts,Purple,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Summer,60,Moderately Compatible
Shirts,Black,Casual,Summer,Shorts,Grey,Casual,Fall,Formal Shoes,Black,Formal,Fall,58,Poor Match
Shirts,Brown,Casual,Fall,Trousers,Grey,Casual,Summer,Casual Shoes,Brown,Casual,Winter,70,Moderately Compatible
Tshirts,Grey,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Brown,Casual,Winter,52,Poor Match
Tshirts,Grey,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,79,Moderately Compatible
Shirts,Blue,Casual,Fall,Trousers,Grey,Casual,Summer,Sports Shoes,White,Sports,Fall,50,Poor Match
Tshirts,Green,Casual,Fall,Track Pants,Black,Casual,Summer,Sports Shoes,White,Sports,Summer,63,Moderately Compatible
Shirts,Olive,Casual,Summer,Trousers,Blue,Formal,Fall,Casual Shoes,Brown,Casual,Winter,32,Poor Match
Tshirts,Blue,Casual,Fall,Trousers,Grey,Casual,Summer,Casual Shoes,Grey,Casual,Winter,61,Moderately Compatible
Tshirts,Black,Sports,Fall,Shorts,Grey Melange,Sports,Summer,Sports Shoes,Black,Sports,Summer,67,Moderately Compatible
Tshirts,White,Casual,Summer,Shorts,Navy Blue,Sports,Summer,Casual Shoes,Brown,Casual,Winter,78,Moderately Compatible
Shirts,Pink,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Blue,Casual,Summer,57,Poor Match
Shirts,Green,Casual,Fall,Track Pants,Black,Sports,Fall,Sports Shoes,Black,Sports,Summer,49,Poor Match
Shirts,White,Casual,Fall,Shorts,Black,Sports,Fall,Sports Shoes,White,Sports,Summer,73,Moderately Compatible
Tshirts,Grey,Casual,Summer,Trousers,Black,Formal,Fall,Sports Shoes,Blue,Sports,Summer,53,Poor Match
Shirts,Green,Casual,Summer,Trousers,Grey,Formal,Fall,Sports Shoes,Black,Sports,Summer,33,Poor Match
Tshirts,Red,Casual,Fall,Trousers,Grey,Casual,Summer,Sports Shoes,White,Sports,Fall,50,Poor Match
Tshirts,Green,Casual,Summer,Shorts,Brown,Sports,Summer,Sports Shoes,Blue,Sports,Summer,49,Poor Match
Tshirts,White,Casual,Fall,Shorts,White,Casual,Fall,Sports Shoes,Grey,Sports,Summer,60,Moderately Compatible
Shirts,Brown,Casual,Summer,Trousers,Charcoal,Formal,Fall,Casual Shoes,Black,Casual,Fall,48,Poor Match
Shirts,Red,Casual,Fall,Shorts,Blue,Casual,Summer,Casual Shoes,White,Casual,Summer,60,Moderately Compatible
Jackets,Red,Sports,Fall,Trousers,Grey,Formal,Fall,Sports Shoes,White,Sports,Summer,51,Poor Match
Tshirts,Purple,Casual,Fall,Shorts,Black,Sports,Winter,Casual Shoes,Navy Blue,Casual,Summer,42,Poor Match
Tshirts,Grey,Sports,Summer,Trousers,Grey,Formal,Fall,Formal Shoes,Black,Formal,Fall,58,Poor Match
Tshirts,Purple,Casual,Fall,Jeans,,Casual,Fall,Casual Shoes,Brown,Casual,Winter,72,Moderately Compatible
Tshirts,Grey,Sports,Summer,Trousers,Black,Casual,Summer,Casual Shoes,Blue,Casual,Fall,65,Moderately Compatible
Tshirts,Grey,Casual,Fall,Trousers,Grey,Casual,Summer,Casual Shoes,White,Casual,Fall,77,Moderately Compatible
Tshirts,Green,Casual,Fall,Trousers,Cream,Formal,Fall,Casual Shoes,Black,Casual,Fall,51,Poor Match
Tshirts,Grey,Casual,Summer,Shorts,Grey Melange,Sports,Summer,Sports Shoes,Black,Sports,Summer,57,Poor Match
Jackets,Red,Sports,Fall,Track Pants,Black,Casual,Spring,Sports Shoes,Black,Sports,Summer,37,Poor Match
Tshirts,White,Casual,Summer,Trousers,Grey,Formal,Fall,Sports Shoes,Blue,Sports,Summer,34,Poor Match
Tshirts,Burgundy,Casual,Summer,Shorts,Navy Blue,Sports,Fall,Sports Shoes,White,Sports,Fall,51,Poor Match
Tshirts,Blue,Casual,Summer,Track Pants,Black,Casual,Summer,Casual Shoes,Black,Casual,Fall,70,Moderately Compatible
Shirts,Purple,Formal,Fall,Track Pants,Black,Casual,Summer,Casual Shoes,White,Casual,Summer,48,Poor Match
Jackets,Blue,Sports,Fall,Trousers,Beige,Casual,Fall,Sports Shoes,Black,Sports,Spring,65,Moderately Compatible
Shirts,Red,Casual,Fall,Track Pants,Black,Casual,Fall,Casual Shoes,Brown,Casual,Winter,70,Moderately Compatible
Kurtas,Maroon,Ethnic,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Fall,38,Poor Match
Shirts,Blue,Formal,Summer,Trousers,Cream,Formal,Fall,Sports Shoes,White,Sports,Summer,42,Poor Match
Tshirts,Black,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,83,Highly Compatible
Tshirts,Grey,Casual,Fall,Shorts,Black,Sports,Fall,Sports Shoes,Blue,Sports,Summer,66,Moderately Compatible
Shirts,Purple,Casual,Summer,Trousers,Brown,Casual,Summer,Sports Shoes,Black,Sports,Summer,63,Moderately Compatible
Shirts,White,Formal,Summer,Trousers,Grey,Formal,Fall,Casual Shoes,Grey,Casual,Fall,61,Moderately Compatible
Tshirts,Yellow,Casual,Summer,Trousers,Brown,Casual,Fall,Casual Shoes,Black,Casual,Fall,68,Moderately Compatible
Tshirts,Black,Casual,Summer,Trousers,Brown,Casual,Summer,Sports Shoes,White,Sports,Summer,70,Moderately Compatible
Shirts,Green,Casual,Summer,Track Pants,Black,Sports,Fall,Sports Shoes,Black,Sports,Fall,47,Poor Match
Jackets,Red,Sports,Fall,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Red,Sports,Summer,61,Moderately Compatible
Tshirts,Navy Blue,Casual,Summer,Shorts,White,Casual,Summer,Sports Shoes,White,Sports,Fall,61,Moderately Compatible
Shirts,White,Casual,Summer,Track Pants,Black,Sports,Fall,Casual Shoes,White,Casual,Fall,75,Moderately Compatible
Shirts,Red,Casual,Fall,Shorts,Black,Sports,Winter,Sports Shoes,White,Sports,Fall,47,Poor Match
Shirts,Olive,Casual,Summer,Shorts,Black,Sports,Winter,Casual Shoes,Brown,Casual,Summer,50,Poor Match
Tshirts,Navy Blue,Casual,Fall,Track Pants,Black,Casual,Summer,Casual Shoes,White,Casual,Fall,79,Moderately Compatible
Tshirts,Green,Casual,Fall,Jeans,Blue,Casual,Fall,Casual Shoes,Navy Blue,Casual,Summer,71,Moderately Compatible
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Summer,62,Moderately Compatible
Tshirts,Grey,Casual,Summer,Trousers,Charcoal,Formal,Fall,Casual Shoes,Black,Casual,Fall,53,Poor Match
Tshirts,White,Casual,Fall,Jeans,Blue,Casual,Summer,Formal Shoes,Black,Formal,Winter,37,Poor Match
Jackets,Red,Casual,Fall,Trousers,Grey,Formal,Fall,Sports Shoes,White,Sports,Summer,38,Poor Match
Tshirts,Black,Casual,Summer,Track Pants,Grey,Sports,Summer,Casual Shoes,Black,Casual,Fall,58,Poor Match
Shirts,Orange,Formal,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Black,Casual,Summer,38,Poor Match
Shirts,Green,Casual,Fall,Shorts,Black,Sports,Fall,Casual Shoes,Black,Casual,Fall,63,Moderately Compatible
Shirts,White,Casual,Fall,Jeans,Blue,Casual,Fall,Casual Shoes,Brown,Casual,Winter,70,Moderately Compatible
Shirts,Green,Casual,Summer,Jeans,Blue,Casual,Fall,Sports Shoes,White,Sports,Summer,40,Poor Match
Tshirts,Green,Casual,Fall,Track Pants,Grey,Casual,Summer,Casual Shoes,Black,Casual,Fall,69,Moderately Compatible
Tshirts,Blue,Casual,Summer,Track Pants,Black,Casual,Summer,Casual Shoes,White,Casual,Fall,73,Moderately Compatible
Shirts,Green,Casual,Summer,Shorts,Navy Blue,Casual,Summer,Formal Shoes,Black,Formal,Fall,48,Poor Match
Tshirts,Grey,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,White,Casual,Summer,87,Highly Compatible
Tshirts,Green,Sports,Fall,Shorts,Grey,Sports,Summer,Sports Shoes,Black,Sports,Fall,67,Moderately Compatible
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Winter,Casual Shoes,Grey,Casual,Summer,58,Poor Match
Shirts,Yellow,Casual,Fall,Shorts,Grey,Casual,Summer,Casual Shoes,Black,Casual,Fall,70,Moderately Compatible
Tshirts,White,Casual,Fall,Shorts,Grey Melange,Sports,Summer,Casual Shoes,Black,Casual,Summer,51,Poor Match
Shirts,Blue,Casual,Fall,Shorts,Green,Casual,Summer,Sports Shoes,White,Sports,Fall,42,Poor Match
Shirts,White,Casual,Fall,Track Pants,Black,Sports,Fall,Sports Shoes,White,Sports,Summer,73,Moderately Compatible
Shirts,Grey,Casual,Fall,Shorts,Grey,Sports,Summer,Casual Shoes,Black,Casual,Fall,61,Moderately Compatible
Shirts,Red,Formal,Fall,Trousers,Blue,Formal,Fall,Casual Shoes,White,Casual,Fall,47,Poor Match
Tshirts,Black,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Red,Casual,Winter,70,Moderately Compatible
Shirts,Red,Casual,Fall,Track Pants,Brown,Casual,Fall,Sports Shoes,Grey,Sports,Summer,47,Poor Match
Shirts,White,Casual,Summer,Shorts,Beige,Casual,Fall,Casual Shoes,Black,Casual,Summer,78,Moderately Compatible
Shirts,Brown,Casual,Fall,Shorts,Black,Sports,Winter,Sports Shoes,Grey,Sports,Summer,49,Poor Match
Tshirts,Grey,Casual,Fall,Shorts,Navy Blue,Sports,Summer,Sports Shoes,White,Sports,Summer,59,Poor Match
Shirts,Grey,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,61,Moderately Compatible
Tshirts,Green,Casual,Fall,Shorts,Black,Casual,Fall,Sports Shoes,Black,Casual,Summer,67,Moderately Compatible
Tshirts,Orange,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer,38,Poor Match
Tshirts,Green,Casual,Fall,Jeans,Blue,Casual,Fall,Casual Shoes,Brown,Casual,Summer,70,Moderately Compatible
Tshirts,White,Casual,Summer,Jeans,Navy Blue,Casual,Summer,Sports Shoes,Black,Sports,Summer,82,Highly Compatible
Shirts,Brown,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Summer,73,Moderately Compatible
Tshirts,Blue,Casual,Fall,Track Pants,Black,Casual,Summer,Casual Shoes,Brown,Casual,Winter,57,Poor Match
Tshirts,Purple,Casual,Summer,Track Pants,Black,Casual,Summer,Casual Shoes,Brown,Casual,Winter,71,Moderately Compatible
Shirts,Brown,Casual,Fall,Jeans,Black,Casual,Summer,Sports Shoes,Silver,Sports,Summer,47,Poor Match
Shirts,White,Formal,Summer,Trousers,Blue,Formal,Fall,Casual Shoes,Black,Casual,Summer,50,Poor Match
Shirts,Green,Casual,Summer,Shorts,Grey,Sports,Summer,Casual Shoes,Brown,Casual,Winter,48,Poor Match
Shirts,White,Formal,Summer,Trousers,Green,Casual,Fall,Casual Shoes,Blue,Casual,Summer,37,Poor Match
Tshirts,Blue,Sports,Fall,Trousers,Brown,Casual,Fall,Sports Shoes,Black,Sports,Summer,51,Poor Match
Tshirts,Black,Casual,Summer,Shorts,White,Casual,Fall,Casual Shoes,Black,Casual,Fall,81,Highly Compatible
Shirts,Red,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Blue,Casual,Fall,61,Moderately Compatible
Shirts,Purple,Casual,Summer,Trousers,Black,Formal,Summer,Sports Shoes,Silver,Sports,Summer,32,Poor Match
Shirts,White,Formal,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Beige,Casual,Winter,48,Poor Match
Sweatshirts,Black,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Black,Casual,Winter,72,Moderately Compatible
Tshirts,Navy Blue,Casual,Fall,Shorts,Navy Blue,Sports,Summer,Sports Shoes,Black,Sports,Spring,53,Poor Match
Tshirts,White,Casual,Summer,Jeans,Blue,Casual,Fall,Sports Shoes,Black,Sports,Fall,53,Poor Match
Tshirts,Purple,Casual,Summer,Jeans,Blue,Casual,Summer,Sports Shoes,Silver,Sports,Summer,48,Poor Match
Shirts,Purple,Casual,Fall,Track Pants,Charcoal,Sports,Summer,Formal Shoes,Black,Formal,Fall,23,Poor Match
Tshirts,Blue,Casual,Summer,Trousers,Charcoal,Formal,Fall,Formal Shoes,Black,Formal,Fall,40,Poor Match
Tshirts,Blue,Casual,Fall,Shorts,Brown,Sports,Summer,Sports Shoes,White,Sports,Fall,52,Poor Match
Tshirts,Blue,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Casual,Summer,59,Poor Match
Tshirts,Brown,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,Blue,Sports,Summer,39,Poor Match
Tshirts,Brown,Casual,Summer,Jeans,Blue,Casual,Fall,Casual Shoes,Black,Casual,Fall,81,Highly Compatible
Tshirts,Grey,Casual,Fall,Trousers,Green,Casual,Fall,Casual Shoes,White,Casual,Summer,67,Moderately Compatible
Tshirts,White,Casual,Summer,Shorts,Blue,Casual,Summer,Casual Shoes,Red,Sports,Summer,49,Poor Match
Tshirts,Green,Casual,Fall,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,57,Poor Match
Tshirts,Green,Sports,Fall,Shorts,Navy Blue,Sports,Summer,Formal Shoes,Black,Formal,Winter,40,Poor Match
Tshirts,Purple,Casual,Fall,Jeans,Blue,Casual,Fall,Casual Shoes,Black,Casual,Summer,70,Moderately Compatible
Tshirts,Blue,Casual,Fall,Trousers,Grey,Casual,Summer,Sports Shoes,Black,Sports,Fall,48,Poor Match
Shirts,Red,Formal,Fall,Trousers,Grey,Formal,Fall,Casual Shoes,Black,Casual,Summer,50,Poor Match
Tshirts,Green,Casual,Fall,Jeans,Blue,Casual,Summer,Sports Shoes,White,Casual,Summer,57,Poor Match
Tshirts,Purple,Casual,Fall,Jeans,Blue,Casual,Fall,Sports Shoes,White,Sports,Fall,51,Poor Match
Shirts,Navy Blue,Casual,Summer,Shorts,Black,Sports,Winter,Casual Shoes,Black,Casual,Fall,50,Poor Match
Shirts,Red,Casual,Summer,Jeans,Blue,Casual,Summer,Casual Shoes,Brown,Casual,Winter,63,Moderately Compatible
